,FORMULA,T (K),Cp (J/molK)
3590,Cu1,500.0,25.912
4288,O4Pb2Si1,1700.0,199.033
1387,Al1Li1O2,400.0,81.546
193,Ba1H2O2,900.0,134.892
93,B2Mg1,900.0,69.16199999999999
1537,F1Na1,1600.0,71.128
4431,S1Sr1,1300.0,57.87
674,Br4Ti1,700.0,133.779
1143,Cr2N1,500.0,76.735
3589,Cu1,600.0,26.481
2787,Mg1O3Ti1,1300.0,134.972
866,C1Be2,1100.0,77.525
278,B1Ti1,800.0,50.911
356,B1H3O3,600.0,127.194
4489,V1,1500.0,34.811
818,Cs1,450.0,36.777
1404,Co1F2,500.0,78.92699999999999
626,Al1F6Li3,978.0,303.131
2727,Mg1S1,1300.0,53.252
3706,Li2O4S1,600.0,168.46900000000002
4577,Zr1,500.0,26.564
3548,Br2Mo1,1300.0,90.165
2549,Mo1O3,400.0,83.094
2414,Al1Na1O2,2300.0,124.034
1776,Be3N2,400.0,84.43299999999999
3335,O4V2,1000.0,160.68200000000002
4350,O4Si1Zr1,500.0,125.938
2861,Al2Mg1O4,2408.0,231.777
3854,N4Si3,2200.0,186.111
1022,Co1O4S1,1400.0,165.979
4205,O2Ti1,1900.0,77.446
2782,Mg1O3Ti1,1800.0,141.879
2436,Al1Na1O2,300.0,73.889
1762,Be3N2,1800.0,129.366
248,B1Ti1,3800.0,55.806
2276,H1K1O1,1100.0,78.65899999999999
4454,Sr1,450.0,28.278
2774,Mg1O3Ti1,2500.0,151.825
4388,Pb1S1,1200.0,58.074
3430,Na2O5Si2,300.0,157.494
2769,K2O2,298.0,100.165
3631,H2O2Sr1,298.0,74.89399999999999
2933,N1V1,2900.0,71.923
1135,Cr2N1,1300.0,98.742
3209,Nb1O2,2175.0,83.052
696,Be1O4S1,2200.0,200.832
2767,K2O2,400.0,107.11
874,C1Be2,300.0,43.32899999999999
4394,Pb1S1,600.0,52.38399999999999
2908,N1Ti1,2100.0,61.71
1876,I1Li1,2000.0,76.191
4332,O4Si1Zr1,2300.0,150.624
2250,H1K1,298.0,37.907
4461,Ti1,1400.0,44.948
1486,Fe0.947O1,1100.0,57.76
872,C1Be2,500.0,49.752
3156,Nb1,400.0,25.393
1882,I1Li1,1400.0,75.877
1786,Fe1,1500.0,39.455
3281,O3W1,1400.0,103.875
1077,Cr2O3,2603.0,143.553
3547,Br2Mo1,1400.0,91.211
216,Br3Zr1,1900.0,106.566
4497,V1,700.0,28.033
4440,S1Sr1,400.0,50.208
649,Ba1,1300.0,39.066
4255,O2Zr1,500.0,67.764
4526,W1,2700.0,36.192
4261,O3V2,2500.0,186.526
3703,Li2O4S1,848.0,202.732
4474,Ti1,350.0,26.169
4240,O2Zr1,1800.0,74.475
1754,Be3N2,2500.0,129.615
501,C0.98Nb1,1100.0,52.635
2284,H1K1O1,516.0,78.65899999999999
4484,V1,2000.0,40.92
1088,Cr2O3,1600.0,133.486
2128,K2O4S1,800.0,199.61900000000003
947,Cu1F2,900.0,88.868
1559,H3O4P1,315.5,111.303
3608,F1Li1,1200.0,63.245
705,Be1O4S1,1300.0,193.543
1371,Al1Li1O2,1973.0,115.679
966,Al2O3,2000.0,136.608
2241,H1K1,1100.0,60.966
2927,N1Ti1,298.0,37.079
2435,Al1Na1O2,400.0,83.412
3195,Ca1,716.0,32.736999999999995
1905,Al1I3,500.0,116.901
417,Al1F6Na3,600.0,262.793
2925,N1Ti1,400.0,43.81100000000001
1019,Co1O4S1,1700.0,170.498
1099,Cr2O3,500.0,117.721
2891,N1Ti1,3700.0,77.22800000000001
254,B1Ti1,3200.0,55.003
1880,I1Li1,1600.0,76.191
3700,Li2O4S1,1100.0,237.051
